user_ID,Pseudo names,mongo_id,user_start,household_ID,hh_start,n_receipts_hh,n_receipts_user
11,Emily,644562dce03a186463df54fd,2023-04-24T11:00:00Z,1,2023-04-24T11:00:00Z,6,5
12,Rob,64478f1f9a8aa035fb823f6c,2023-04-25T10:30:00Z,2,2023-04-25T10:30:00Z,3,3
13,Alice,6447a6049a8aa035fb823fb8,2023-04-25T11:40:00Z,3,2023-04-25T11:40:00Z,5,5
14,Ben,6447d364ead1f8e46567534e,2023-04-25T15:00:00Z,4,2023-04-25T15:00:00Z,6,6
15,Matt,644f9adf9a8aa035fb8242df,2023-05-01T15:00:00Z,5,2023-05-01T15:00:00Z,1,1
17,Phil,6448f48d9a8aa035fb82410b,2023-04-26T10:30:00Z,6,2023-04-26T10:30:00Z,11,11
18,Chris,64481e059a8aa035fb82407b,2023-04-26T13:30:00Z,7,2023-04-26T13:30:00Z,4,4
19,Mike,644963f29a8aa035fb8241af,2023-04-26T18:30:00Z,1,2023-04-24T11:00:00Z,6,1
20,Tom,644a92769a8aa035fb824217,2023-04-27T16:00:00Z,8,2023-04-27T16:00:00Z,11,11
21,Olivia,644fad889a8aa035fb824333,2023-05-01T17:30:00Z,9,2023-05-01T17:30:00Z,3,3
22,Paul,644ffe5e9a8aa035fb824387,2023-05-01T17:30:00Z,9,2023-05-01T17:30:00Z,3,0
23,Jane,6450ca419a8aa035fb8243fd,2023-05-02T12:00:00Z,10,2023-05-02T12:00:00Z,8,6
24,John,64510e5d9a8aa035fb82453c,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,12,12
24,John,6450ef1a9a8aa035fb824491,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,12,12
25,Henry,64534db1ac23d986b3199a4f,2023-05-09T12:30:00Z,10,2023-05-02T12:00:00Z,8,2
25,Henry,645a195b9a8aa035fb824e93,2023-05-09T12:30:00Z,10,2023-05-02T12:00:00Z,8,2
26,Margy,645220979a8aa035fb824614,2023-05-03T10:30:00Z,12,2023-05-03T10:20:00Z,5,0
27,Nick,645228229a8aa035fb82463b,2023-05-03T10:20:00Z,12,2023-05-03T10:20:00Z,5,5
28,James,645261c49a8aa035fb8246e5,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,10,6
29,Sara,64528d129a8aa035fb824756,2023-05-04T09:00:00Z,14,2023-05-04T09:00:00Z,7,4
30,Simon,64534f15ac23d986b3199a5a,2023-05-04T09:00:00Z,14,2023-05-04T09:00:00Z,7,3
30,Simon,645a19399a8aa035fb824e88,2023-05-04T09:00:00Z,14,2023-05-04T09:00:00Z,7,3
32,Dan,6454ba719a8aa035fb824931,2023-05-05T09:00:00Z,15,2023-05-05T09:00:00Z,2,2
32,Dan,6453ac32ac23d986b3199a67,2023-05-05T09:00:00Z,15,2023-05-05T09:00:00Z,2,2
31,Emma,645293ac9a8aa035fb824763,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,10,4
33,Mark,645a16059a8aa035fb824dc2,2023-05-09T12:00:00Z,16,2023-05-09T12:00:00Z,1,1
