__v,_id,date,date_recorded,is_checked_off,item_footprint_g_100g,item_footprint_sourcenote,item_group,item_kcal_100g,item_product,item_product_detail,item_receipt_desc,item_subgroup,item_unit_price_gbp,item_units,item_weight_g,store,store_branche,time,user
0,6405fcc4e370007fba6e19e2,20/02/2023,2023-02-28T11:34:41.746Z,true,85,Tesco Products Carbon Footprint Summary 2012,"Bread, Bakery & Breakfast Cereals",376,Oats,,Quaker Porridge Oats 1kg,Breakfast Cereals,1.75,1,1000,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e19e3,20/02/2023,2023-02-28T11:34:41.746Z,true,100,"Scarborough P, Appleby PN, Mizdrak A, et al. Dietary greenhouse gas emissions of meat-eaters, fish-eaters, vegetarians and vegans in the UK. Clim Change. 2014;125(2):179-192. https:/doi.org/10.1007/s10584-014-1169-2",Cereals & Potatoes,,Couscous,,"Tesco Whole Wheat Cous Cous
500g",Cereals,0.8,1,500,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e19e9,20/02/2023,2023-02-28T11:34:41.746Z,true,22,Tesco Products Carbon Footprint Summary 2012,Cupboard,0,Salt,,Saxa Table Salt Mini Pot 70g,Condiments,0.6,1,70,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e19ea,20/02/2023,2023-02-28T11:34:41.746Z,true,711,myemissions.green,Dairy & Alternatives,,Feta,,Tesco Organic Greek Feta 200g,Cheese,2.2,1,200,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e19ec,20/02/2023,2023-02-28T11:34:41.746Z,true,70,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Dairy & Alternatives,,Almond Milk ,,"Chilled
Alpro Almond No Sugars
Drink 1 Litre",Milk & Alt.,1.8,1,1000,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e19ef,20/02/2023,2023-02-28T11:34:41.746Z,true,1140,Tesco Products Carbon Footprint Summary 2012,Drinks,3,Tea,,Pukka Organic Fair Matcha Clean Green 20 Tea Bags 30g,Hot Drinks,3,1,30,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e19fd,20/02/2023,2023-02-28T11:34:41.746Z,true,88,Tesco Products Carbon Footprint Summary 2012,Protein sources,679,Walnuts,,Tesco Walnut Halves 250g,Nuts & seeds,3.9,1,250,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e1a00,20/02/2023,2023-02-28T11:34:41.746Z,true,220,Tesco Products Carbon Footprint Summary 2012,Protein Sources,625,Sunflower Seeds,,Tesco Brown Flaxseeds 250g,Nuts & seeds,1.1,1,250,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e1a02,20/02/2023,2023-02-28T11:34:41.746Z,true,91,Tesco Products Carbon Footprint Summary 2012,Protein Sources,89,Beans,,"Hapi Dry Roasted Edamame With
Sea Salt Beans 100g",Pulses,1.5,1,100,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e1a03,20/02/2023,2023-02-28T11:34:41.746Z,true,210,Small World Consulting. The Greenhouse Gas Footprint of Booths: Covering the Year 2013-2014. Vol 510272.; 2015.,Snacks,101,Ice Cream,,"Swedish Glace Vanilla Non Dairy
Frozen Dessert 750ml",Ice Cream,2.5,1,750,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e1a05,20/02/2023,2023-02-28T11:34:41.746Z,true,22,Tesco Products Carbon Footprint Summary 2012,Vegetables,40,Cabbage,,"Tesco Shredded Savoy Cabbage
750g",Misc vegetables,1.5,1,750,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e1a07,20/02/2023,2023-02-28T11:34:41.746Z,true,130,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Vegetables,16,Cucumber,,Tesco Cucumber Whole Each,Misc vegetables,0.59,1,250,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e1a0a,20/02/2023,2023-02-28T11:34:41.746Z,true,180,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Vegetables,14,Lettuce (Import),,Tesco Party Salad 500g,Dark-green Vegetables,2.75,1,500,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e1a0b,20/02/2023,2023-02-28T11:34:41.746Z,true,180,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Vegetables,14,Lettuce (Import),,Tesco Wild Rocket 60g,Dark-green Vegetables,1,1,60,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
0,6405fcc4e370007fba6e1a0c,20/02/2023,2023-02-28T11:34:41.746Z,true,386,Tesco Products Carbon Footprint Summary 2012,Vegetables,8,Mushrooms,,"Tesco Family Pack Chestnut
Mushroom 485g",Misc vegetables,1.8,1,485,TESCO,NA,20:46,63ff3abb7a74defef8cf5afe
