user_ID,Pseudo names,user_start,household_ID,hh_start,hh_receipt_id,day_recorded,rcpt_C02_ave,rcpt_C02_total,rcpt_weight,rcpt_items_n
14,Ben,2023-04-25T15:00:00Z,4,2023-04-25T15:00:00Z,1,0,243.97299509001635,4173890,17108,29
11,Emily,2023-04-24T11:00:00Z,1,2023-04-24T11:00:00Z,1,0,178.10614016663166,2543890,14283,30
11,Emily,2023-04-24T11:00:00Z,1,2023-04-24T11:00:00Z,2,1.10528510416547,137.88040688278355,1450364,10519,28
12,Rob,2023-04-25T10:30:00Z,2,2023-04-25T10:30:00Z,1,0,364.6563944530046,1183310,3245,16
12,Rob,2023-04-25T10:30:00Z,2,2023-04-25T10:30:00Z,2,0.473467974535845,335.3534934384563,6465280,19279,36
13,Alice,2023-04-25T11:40:00Z,3,2023-04-25T11:40:00Z,1,0,167.076,1670760,10000,31
18,Chris,2023-04-26T13:30:00Z,7,2023-04-26T13:30:00Z,1,0,221.2340535200378,5150550,23281,52
17,Phil,2023-04-26T10:30:00Z,6,2023-04-26T10:30:00Z,1,0,699.359524138885,5055670,7229,13
18,Chris,2023-04-26T13:30:00Z,7,2023-04-26T13:30:00Z,2,1.16784039351951,210,945000,4500,2
17,Phil,2023-04-26T10:30:00Z,6,2023-04-26T10:30:00Z,2,1.00849699074195,55,53625,975,1
17,Phil,2023-04-26T10:30:00Z,6,2023-04-26T10:30:00Z,3,1.00796620370337,155.28735632183907,135100,870,2
11,Emily,2023-04-24T11:00:00Z,1,2023-04-24T11:00:00Z,3,3.98242372685285,315.410943148209,1919591,6086,18
20,Tom,2023-04-27T16:00:00Z,8,2023-04-27T16:00:00Z,1,2.95423680555489,282.2686862034903,5143500,18222,16
20,Tom,2023-04-27T16:00:00Z,8,2023-04-27T16:00:00Z,2,2.7359894675927,369.5281177931524,2083030,5637,16
20,Tom,2023-04-27T16:00:00Z,8,2023-04-27T16:00:00Z,3,2.73636828703737,141.07038123167155,962100,6820,10
21,Olivia,2023-05-01T17:30:00Z,9,2023-05-01T17:30:00Z,1,0,171.93082706766918,2858350,16625,33
15,Matt,2023-05-01T15:00:00Z,5,2023-05-01T15:00:00Z,1,0,473.59434830633285,5145129,10864,26
23,Jane,2023-05-02T12:00:00Z,10,2023-05-02T12:00:00Z,1,0,203.14728798321846,4067415,20022,41
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,1,0,122.71014581546379,4005750,32644,31
