StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1 ID,Q2 age,Q3 sex,Q3 sex_3_TEXT,Q4 degree,Q5 adults,Q5 adults_3_TEXT,Q6 children,Q6 children_3_TEXT,Q7 main grocery,Q32,Q32_7_TEXT,Q8 grocer,Q9 online,Q10 meal box,Q11 veggiebox,Q12 farm,Q13 takeout,Q14 other source,Q14 other source_2_TEXT,Q27,Q28,Q33,Q34,Q35,Q36,Q42,Q43,Q45,Q32,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q35_1,Q35_2,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q35_9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your study ID,How old are you?,What is your gender identity? - Selected Choice,"What is your gender identity? - Non-binary, namely: - Text",What is the highest degree you have received?,How many adults live in your household? - Selected Choice,How many adults live in your household? - other - Text,How many children live in your household? - Selected Choice,How many children live in your household? - other - Text,Who does most of the groceries in your household?,How would you describe your diet? - Selected Choice,How would you describe your diet? - Other - Text,How much of your food do you get from the grocery store (offline),How much of your food do you get from online grocery orders,"How much of your food do you get through meal/recipe boxes (e.g. Gusto, HelloFresh)",How much of your food do you get through vegetable delivery boxes,How much of your food do you get direct from the farmstore or farmers market,How much of your food do you get from restaurants or take-away,"Anywhere else? (If so, where and how much?) - Selected Choice","Anywhere else? (If so, where and how much?) - yes - Text",Have you used applications/websites to inform you about your carbon footprint?,Which applications have you used?,I think of myself as a person who cares for the environment,To engage in environmentally sustainable behaviours is an important part of who I am,I am NOT the kind of person who makes efforts to conserve the environment,In my daily life I try to find ways to minimize my impact on the environment,I feel that I can make a difference by paying attention to the footprint of my groceries,"I feel that I know how to go about pursuing a low foodprint*.

*foodprint = the carbon footprint of food and drink items.",I feel capable to pursue a low foodprint.,What is currently hindering you to pursue a low foodprint?,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Buy organic,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Buy local produce,"What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Reduce certain types of products, no matter the season or origin",What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Reduce packaging,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Be considerate in choosing your grocer,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Avoid airfreighted products,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Avoid products grown in hothouses (heated greenhouses),Which items do you think have the highest foodprint (on average)? - 100g of banana (Peru),"Which items do you think have the highest foodprint (on average)? - 100g fresh blueberries, bought in January (Chile)",Which items do you think have the highest foodprint (on average)? - 100g of Brittish cheddar (UK),Which items do you think have the highest foodprint (on average)? - 100g lamb (UK),Which items do you think have the highest foodprint (on average)? - 100g Strawberries (Scotland),Which items do you think have the highest foodprint (on average)? - 100g tiger prawns,Which items do you think have the highest foodprint (on average)? - 100g chicken (UK),Which items do you think have the highest foodprint (on average)? - 100g Strawberries (Spain)
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_3_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_3_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_3_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID65""}","{""ImportId"":""QID65_7_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_2_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID67_3""}","{""ImportId"":""QID67_4""}","{""ImportId"":""QID67_5""}","{""ImportId"":""QID67_6""}","{""ImportId"":""QID67_7""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID68_2""}","{""ImportId"":""QID68_3""}","{""ImportId"":""QID68_4""}","{""ImportId"":""QID68_5""}","{""ImportId"":""QID68_6""}","{""ImportId"":""QID68_7""}","{""ImportId"":""QID68_8""}"
2023-04-21 18:40:06,2023-04-21 18:46:45,0,86.133.140.1,100,399,1,2023-04-21 18:46:46,R_T4JSBKUEatsahEZ,,,,,55.0021,-1.6287,anonymous,EN,1,5,1,,7,2,,4,,1,2,,6,2,1,1,1,2,,,1,,6,5,1,5,4,5,2,lack of information and knowledge on what is a low foodprint,6,2,1,4,7,3,5,5,6,2,1,8,3,4,7
2023-04-22 18:20:36,2023-04-22 18:24:02,0,82.132.185.154,100,205,1,2023-04-22 18:24:03,R_2robwNr7AutTBkt,,,,,53.7945,-1.5524,anonymous,EN,1,3,2,,6,2,,2,,3,3,,2,5,1,1,1,1,1,,2,"WWF's my footprint app, Klima and myplannetapp",6,5,2,6,6,5,5,"Lack of data available ",4,3,2,5,1,6,7,6,7,5,2,4,3,8,1
2023-04-24 11:06:22,2023-04-24 11:10:26,0,90.246.39.3,100,244,1,2023-04-24 11:10:28,R_2wuHuoLYLfED3tL,,,,,54.7699,-1.559,anonymous,EN,11,3,2,,6,2,,1,,3,7,Dairy free,6,1,1,1,1,2,2,"Local restaurant who does a food waste hamper ",1,,6,5,1,6,6,2,6,,7,2,6,3,4,1,5,3,2,5,6,8,1,7,4
2023-04-24 19:52:12,2023-04-24 19:59:17,0,146.198.135.57,100,425,1,2023-04-24 19:59:18,R_25HI1kJaIIqy4nX,,,,,54.9735,-1.5673,anonymous,EN,13,3,3,she/they,6,1,,1,,1,3,,6,1,1,1,2,2,2,shared meals with friends,1,,6,5,3,6,6,2,3,"Lack of knowledge, low income, local food availability & taste",6,3,4,1,7,2,5,5,4,3,1,8,2,7,6
2023-04-25 07:32:10,2023-04-25 07:36:37,0,92.2.42.55,100,267,1,2023-04-25 07:36:38,R_27dOIksYl2j64fq,,,,,54.9749,-1.6451,anonymous,EN,12,3,1,,6,2,,1,,1,2,,3,3,1,1,1,2,1,,1,,6,5,2,6,5,4,4,It's hard to know which items have a large carbon footprint outside of country of origin,4,1,6,3,5,2,7,2,3,7,4,8,6,5,1
2023-04-25 11:09:45,2023-04-25 11:14:16,0,128.240.225.44,100,271,1,2023-04-25 11:14:17,R_3hfoOGdRb5zbsUP,,,,,54.9742,-1.615,anonymous,EN,14,2,1,,5,1,,1,,1,3,,6,1,1,1,1,1,1,,1,,7,6,6,7,6,3,2,Lack of knowledge about what changes make the most difference,7,1,6,4,5,2,3,2,1,8,7,4,5,6,3
2023-04-26 10:37:48,2023-04-26 10:46:49,0,128.240.225.55,100,541,1,2023-04-26 10:46:50,R_7OI3sxCjFcZEV7r,,,,,54.9742,-1.615,anonymous,EN,17,3,1,,6,2,,1,,1,2,,6,1,1,1,1,2,1,,2,Co2.myclimate.org; ourworldindata; for travel the trip providers often have an estimate,5,5,3,5,5,3,4,"Personal effort, ease of accessibility on information, practicability",7,2,5,3,4,1,6,8,5,4,3,7,1,2,6
2023-04-26 13:30:23,2023-04-26 13:36:00,0,128.240.225.17,100,337,1,2023-04-26 13:36:01,R_2PtKBOfbxg3HxrC,,,,,54.9742,-1.615,anonymous,EN,18,6,1,,6,1,,1,,1,5,,5,1,1,1,1,2,1,,1,,5,5,2,5,5,3,3,"Availability of options at local grocery stores (e.g. limited ranges, unavailable stock)",6,2,1,5,7,3,4,8,3,1,4,7,5,2,6
