StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1 ID,Q33,Q34,Q35,Q36,Q42,Q43,Q45,Q32,Q58,Q61,Q53,Q54,Q31,Q32,Q34,Q37,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q49,Q63
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,What is your study ID,I think of myself as a person who cares for the environment,To engage in environmentally sustainable behaviours is an important part of who I am,I am NOT the kind of person who makes efforts to conserve the environment,In my daily life I try to find ways to minimize my impact on the environment,I feel that I can make a difference by paying attention to the footprint of my groceries,I feel that I know how to go about pursuing a low footprint,I feel capable to pursue a low grocery footprint.,What is currently hindering you to pursue a low footprint?,The app helped me in my environmental goals.,The app made me feel more in control of my foodprint.,The app helped me change my purchase behaviour.,How did the app help you alter your purchase behaviour?,How likely are you to reduce your footprint over the next months?,How inclined are you to attempt to reduce your footprint over the next months?,Over the last weeks I have become more attentive to environmental issues unrelated to the MyFoodPrint app.,Over the last week I feel I have become more inclined to engage in environmental sustainablility matters unrelated to the MyFoodPrint app.,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Buy organic,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Buy local produce,"What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Reduce certain types of products, no matter the season or origin",What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Reduce packaging,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Be considerate in choosing your grocer,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Avoid airfreighted products,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Avoid products grown in hothouses (heated greenhouses),Which items do you think have the highest foodprint (on average)? - 100g of banana (Peru),"Which items do you think have the highest foodprint (on average)? - 100g fresh blueberries, bought in January (Chile)",Which items do you think have the highest foodprint (on average)? - 100g of Brittish cheddar (UK),Which items do you think have the highest foodprint (on average)? - 100g lamb (UK),Which items do you think have the highest foodprint (on average)? - 100g Strawberries (Scotland),Which items do you think have the highest foodprint (on average)? - 100g tiger prawns,Which items do you think have the highest foodprint (on average)? - 100g chicken (UK),Which items do you think have the highest foodprint (on average)? - 100g Strawberries (Spain),How supportive/obstructive did you find the MyFoodPrint app?,How easy/complicated did you find the use of the MyFoodPrint app?,How efficient/inefficient did you find the MyFoodPrint app?,How clear/confusing did you find the MyFoodPrint app?,How exciting/boring did you find the use of MyFoodPrint app?,How interesting/not-interesting did you find the use of MyFoodPrint app?,How inventive/conventional did you find the use of MyFoodPrint app?,How leading edge/usual did you find the use of MyFoodPrint app?,How easy/difficult was it to find acceptable product alternatives that have a lower footprint?,I would use the app in the future.
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID67""}","{""ImportId"":""QID70""}","{""ImportId"":""QID1212140672_1""}","{""ImportId"":""QID1212140672_2""}","{""ImportId"":""QID1212140672_3""}","{""ImportId"":""QID1212140672_4""}","{""ImportId"":""QID1212140672_5""}","{""ImportId"":""QID1212140672_6""}","{""ImportId"":""QID1212140672_7""}","{""ImportId"":""QID1212140673_1""}","{""ImportId"":""QID1212140673_2""}","{""ImportId"":""QID1212140673_3""}","{""ImportId"":""QID1212140673_4""}","{""ImportId"":""QID1212140673_5""}","{""ImportId"":""QID1212140673_6""}","{""ImportId"":""QID1212140673_7""}","{""ImportId"":""QID1212140673_8""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID82""}","{""ImportId"":""QID94""}"
2023-04-21 15:15:05,2023-04-21 15:15:05,Survey Test,,100,0,True,2023-04-21 15:15:05,R_e35Kfru9syanqYK,,,,,,,test,,,Aenean magna facilisis. Metus? Nibh consequat ultrices mauris. Venenatis? Nibh ante orci ridiculus tempus.,somewhat agree,strongly disagree,disagree,disagree,agree,somewhat disagree,neither agree nor disagree,Pretium metus vehicula enim turpis. Risus bibendum dictumst donec. Nullam convallis.,12,,13,"Purus porta gravida quam dolorem interdum tortor, tortor auctor elementum. Vulputate maecenas.",very likely,Neither much nor little,somewhat disagree,strongly agree,,,,,,,,,,,,,,,,Obstructive,Neither easy nor complicated,Very efficient,Clear,Exciting,Interesting,Neither inventive nor conventional,Very usual,Easy,
2023-04-21 15:15:05,2023-04-21 15:15:05,Survey Test,,100,0,True,2023-04-21 15:15:06,R_egHLaSxm9vL5pYO,,,,,,,test,,,Integer. Fermentum sapien blandit dapibus dapibus lacus augue interdum dictumst quis sollicitudin tempor? Laoreet.,disagree,disagree,strongly agree,somewhat disagree,agree,strongly disagree,agree,,10,,11,,somewhat likely,Somewhat much,somewhat agree,neither agree nor disagree,,,,,,,,,,,,,,,,Slightly supportive,Slightly easy,Very efficient,Very clear,Neither exciting nor boring,Not interesting at all,Conventional,Neither leading edge nor usual,Difficult,
2023-04-21 15:15:06,2023-04-21 15:15:06,Survey Test,,100,0,True,2023-04-21 15:15:06,R_bJg3gh72d6FtiZg,,,,,,,test,,,Eget volutpat ligula sodales? Facilisi at lectus nec quam vulputate pharetra.,strongly agree,somewhat agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,,10,,13,Dapibus ab phasellus ut ut fusce tempor amet cursus maecenas natoque vitae. Eros sit accusamus.,highly unlikely,Somewhat much,disagree,agree,,,,,,,,,,,,,,,,Supportive,Very complicated,Inefficient,Neither clear nor confusing,Slightly boring,Neither interesting nor not-interesting,Conventional,Very leading edge,Easy,
2023-04-21 15:15:06,2023-04-21 15:15:06,Survey Test,,100,0,True,2023-04-21 15:15:07,R_6DTDMDPzVChx68S,,,,,,,test,,,Faucibus morbi amet sit rhoncus enim suspendisse aenean facilisis sapien! Morbi rutrum non vulputate pellentesque.,strongly disagree,agree,agree,somewhat disagree,somewhat disagree,somewhat agree,agree,,9,,11,,somewhat likely,Very much,disagree,neither agree nor disagree,,,,,,,,,,,,,,,,Obstructive,Very easy,Slightly inefficient,Moderately clear,Slightly exciting,Very interesting,Very inventive,Very usual,Difficult,
2023-04-21 15:15:07,2023-04-21 15:15:07,Survey Test,,100,0,True,2023-04-21 15:15:07,R_9XjGK1qvoLDUcbs,,,,,,,test,,,"A curabitur sed. Proin nunc. Felis? Dui a! Massa leo, porttitor malesuada.",somewhat disagree,strongly disagree,somewhat agree,agree,disagree,strongly disagree,somewhat disagree,"A et aliquet arcu, eleifend montes consectetuer? Platea eget scelerisque rutrum imperdiet dapibus.",11,,13,Eros tincidunt. Augue sed bibendum accusamus placerat ultricies consequat accusamus. Diam scelerisque.,unlikely,Somewhat little,strongly agree,strongly disagree,,,,,,,,,,,,,,,,Very supportive,Very easy,Slightly inefficient,Clear,Very boring,Not interesting,Slightly inventive,Slightly usual,Easy,
2023-04-22 18:24:09,2023-04-22 18:30:39,IP Address,82.132.185.154,100,389,True,2023-04-22 18:30:39,R_1jkoMwFHodLQFjs,,,,,53.7945,-1.5524,anonymous,EN,0.8999999761581421,001,agree,agree,disagree,agree,agree,strongly agree,strongly agree,,Agree,Agree,Agree,,likely,Much,agree,agree,3,6,5,2,7,1,4,7,6,2,8,3,5,4,1,Supportive,Easy,Efficient,Very clear,Exciting,Interesting,Very inventive,Leading edge,Easy,Agree
2023-04-21 15:38:36,2023-04-21 15:38:53,IP Address,128.240.225.38,10,16,False,2023-04-28 15:38:55,R_OBik7w0PuF1L3VL,,,,,,,anonymous,EN,0.8999999761581421,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 18:47:02,2023-04-21 19:06:22,IP Address,86.133.140.1,34,1159,False,2023-04-28 19:06:27,R_x5xzPtbVKacpZV7,,,,,,,anonymous,EN,1,001,agree,somewhat agree,disagree,agree,agree,somewhat disagree,disagree,Information and knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
