StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1 ID,Q33,Q34,Q35,Q36,Q42,Q43,Q45,Q32,Q58,Q61,Q53,Q54,Q31,Q32,Q34,Q37,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q49,Q63
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,What is your study ID,I think of myself as a person who cares for the environment,To engage in environmentally sustainable behaviours is an important part of who I am,I am NOT the kind of person who makes efforts to conserve the environment,In my daily life I try to find ways to minimize my impact on the environment,I feel that I can make a difference by paying attention to the footprint of my groceries,I feel that I know how to go about pursuing a low footprint,I feel capable to pursue a low grocery footprint.,What is currently hindering you to pursue a low footprint?,The app helped me in my environmental goals.,The app made me feel more in control of my foodprint.,The app helped me change my purchase behaviour.,How did the app help you alter your purchase behaviour?,How likely are you to reduce your footprint over the next months?,How inclined are you to attempt to reduce your footprint over the next months?,Over the last weeks I have become more attentive to environmental issues unrelated to the MyFoodPrint app.,Over the last week I feel I have become more inclined to engage in environmental sustainablility matters unrelated to the MyFoodPrint app.,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Buy organic,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Buy local produce,"What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Reduce certain types of products, no matter the season or origin",What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Reduce packaging,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Be considerate in choosing your grocer,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Avoid airfreighted products,What do you believe are the best ways you can minimize your carbon footprint? (Order from most to le - Avoid products grown in hothouses (heated greenhouses),Which items do you think have the highest foodprint (on average)? - 100g of banana (Peru),"Which items do you think have the highest foodprint (on average)? - 100g fresh blueberries, bought in January (Chile)",Which items do you think have the highest foodprint (on average)? - 100g of Brittish cheddar (UK),Which items do you think have the highest foodprint (on average)? - 100g lamb (UK),Which items do you think have the highest foodprint (on average)? - 100g Strawberries (Scotland),Which items do you think have the highest foodprint (on average)? - 100g tiger prawns,Which items do you think have the highest foodprint (on average)? - 100g chicken (UK),Which items do you think have the highest foodprint (on average)? - 100g Strawberries (Spain),How supportive/obstructive did you find the MyFoodPrint app?,How easy/complicated did you find the use of the MyFoodPrint app?,How efficient/inefficient did you find the MyFoodPrint app?,How clear/confusing did you find the MyFoodPrint app?,How exciting/boring did you find the use of MyFoodPrint app?,How interesting/not-interesting did you find the use of MyFoodPrint app?,How inventive/conventional did you find the use of MyFoodPrint app?,How leading edge/usual did you find the use of MyFoodPrint app?,How easy/difficult was it to find acceptable product alternatives that have a lower footprint?,I would use the app in the future.
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID67""}","{""ImportId"":""QID70""}","{""ImportId"":""QID1212140672_1""}","{""ImportId"":""QID1212140672_2""}","{""ImportId"":""QID1212140672_3""}","{""ImportId"":""QID1212140672_4""}","{""ImportId"":""QID1212140672_5""}","{""ImportId"":""QID1212140672_6""}","{""ImportId"":""QID1212140672_7""}","{""ImportId"":""QID1212140673_1""}","{""ImportId"":""QID1212140673_2""}","{""ImportId"":""QID1212140673_3""}","{""ImportId"":""QID1212140673_4""}","{""ImportId"":""QID1212140673_5""}","{""ImportId"":""QID1212140673_6""}","{""ImportId"":""QID1212140673_7""}","{""ImportId"":""QID1212140673_8""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID82""}","{""ImportId"":""QID94""}"
2023-04-21 15:15:05,2023-04-21 15:15:05,2,,100,0,1,2023-04-21 15:15:05,R_e35Kfru9syanqYK,,,,,,,test,,,Aenean magna facilisis. Metus? Nibh consequat ultrices mauris. Venenatis? Nibh ante orci ridiculus tempus.,5,1,2,2,6,3,4,Pretium metus vehicula enim turpis. Risus bibendum dictumst donec. Nullam convallis.,12,,13,"Purus porta gravida quam dolorem interdum tortor, tortor auctor elementum. Vulputate maecenas.",7,32,3,7,,,,,,,,,,,,,,,,27,29,32,30,31,31,29,26,31,
2023-04-21 15:15:05,2023-04-21 15:15:05,2,,100,0,1,2023-04-21 15:15:06,R_egHLaSxm9vL5pYO,,,,,,,test,,,Integer. Fermentum sapien blandit dapibus dapibus lacus augue interdum dictumst quis sollicitudin tempor? Laoreet.,2,2,7,3,6,1,6,,10,,11,,5,33,5,4,,,,,,,,,,,,,,,,30,30,32,32,29,26,27,29,27,
2023-04-21 15:15:06,2023-04-21 15:15:06,2,,100,0,1,2023-04-21 15:15:06,R_bJg3gh72d6FtiZg,,,,,,,test,,,Eget volutpat ligula sodales? Facilisi at lectus nec quam vulputate pharetra.,7,5,7,7,7,1,7,,10,,13,Dapibus ab phasellus ut ut fusce tempor amet cursus maecenas natoque vitae. Eros sit accusamus.,1,33,2,6,,,,,,,,,,,,,,,,31,26,27,29,28,29,27,32,31,
2023-04-21 15:15:06,2023-04-21 15:15:06,2,,100,0,1,2023-04-21 15:15:07,R_6DTDMDPzVChx68S,,,,,,,test,,,Faucibus morbi amet sit rhoncus enim suspendisse aenean facilisis sapien! Morbi rutrum non vulputate pellentesque.,1,6,6,3,3,5,6,,9,,11,,5,35,2,4,,,,,,,,,,,,,,,,27,32,28,31,30,32,32,26,27,
2023-04-21 15:15:07,2023-04-21 15:15:07,2,,100,0,1,2023-04-21 15:15:07,R_9XjGK1qvoLDUcbs,,,,,,,test,,,"A curabitur sed. Proin nunc. Felis? Dui a! Massa leo, porttitor malesuada.",3,1,5,6,2,1,3,"A et aliquet arcu, eleifend montes consectetuer? Platea eget scelerisque rutrum imperdiet dapibus.",11,,13,Eros tincidunt. Augue sed bibendum accusamus placerat ultricies consequat accusamus. Diam scelerisque.,2,31,7,1,,,,,,,,,,,,,,,,32,32,28,30,26,27,30,28,31,
2023-04-22 18:24:09,2023-04-22 18:30:39,0,82.132.185.154,100,389,1,2023-04-22 18:30:39,R_1jkoMwFHodLQFjs,,,,,53.7945,-1.5524,anonymous,EN,0.8999999761581421,001,6,6,2,6,6,7,7,,26,18,26,,6,34,6,6,3,6,5,2,7,1,4,7,6,2,8,3,5,4,1,31,31,31,32,31,31,32,31,31,26
2023-04-21 15:38:36,2023-04-21 15:38:53,0,128.240.225.38,10,16,0,2023-04-28 15:38:55,R_OBik7w0PuF1L3VL,,,,,,,anonymous,EN,0.8999999761581421,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 18:47:02,2023-04-21 19:06:22,0,86.133.140.1,34,1159,0,2023-04-28 19:06:27,R_x5xzPtbVKacpZV7,,,,,,,anonymous,EN,1,001,6,5,2,6,6,3,2,Information and knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
