StartDate,duration_sec,user_ID,age,sex,degree,adults,children,does_groceries,diet,share_store,share_online,share_meal_box,share_veggie_box,share_farm_store,share_out-of-home,share_other,other_def,apps_used,apps_name,env_attitude_1,env_attitude_2,env_attitude_3_inv,env_attitude_4,SelfEff_1,SelfEff_2,SelfEff_3,barriers_desc,knowledge_1_Organic,knowledge_1_Local,knowledge_1_Product_type,knowledge_1_Packeging,knowledge_1_Store,knowledge_1_Airfreight,knowledge_1_Hothouses,knowledge_2_Banana,knowledge_2_BerriesChile,knowledge_2_Cheddar,knowledge_2_Lamb,knowledge_2_Strawb_Scott,knowledge_2_TigerPrawn,knowledge_2_Chicken,knowledge_2_Strawb_Spain,age_level,sex_level,degree_level,does_groceries_level,diet_level,share_store_level,share_online_level,share_meal_box_level,share_veggie_box_level,share_farm_store_level,share_out-of-home_level,env_attitude_1_level,env_attitude_2_level,env_attitude_3_inv_level,env_attitude_4_level,SelfEff_1_level,SelfEff_2_level,SelfEff_3_level
2023-04-24T11:06:22Z,244,11,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,yes,Local restaurant who does a food waste hamper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,6,3,4,1,5,3,2,5,6,8,1,7,4,3,2,6,3,7,6,1,1,1,1,2,6,5,1,6,6,2,6
2023-04-24T19:52:12Z,425,13,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,yes,shared meals with friends,no,NA,NA,NA,NA,NA,NA,NA,NA,"Lack of knowledge, low income, local food availability & taste",6,3,4,1,7,2,5,5,4,3,1,8,2,7,6,3,3,6,1,3,6,1,1,1,2,2,6,5,3,6,6,2,3
2023-04-25T07:32:10Z,267,12,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,It's hard to know which items have a large carbon footprint outside of country of origin,4,1,6,3,5,2,7,2,3,7,4,8,6,5,1,3,1,6,1,2,3,3,1,1,1,2,6,5,2,6,5,4,4
2023-04-25T11:09:45Z,271,14,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,Lack of knowledge about what changes make the most difference,7,1,6,4,5,2,3,2,1,8,7,4,5,6,3,2,1,5,1,3,6,1,1,1,1,1,7,6,6,7,6,3,2
2023-04-26T10:37:48Z,541,17,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,Co2.myclimate.org; ourworldindata; for travel the trip providers often have an estimate,NA,NA,NA,NA,NA,NA,NA,"Personal effort, ease of accessibility on information, practicability",7,2,5,3,4,1,6,8,5,4,3,7,1,2,6,3,1,6,1,2,6,1,1,1,1,2,5,5,3,5,5,3,4
2023-04-26T13:30:23Z,337,18,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"Availability of options at local grocery stores (e.g. limited ranges, unavailable stock)",6,2,1,5,7,3,4,8,3,1,4,7,5,2,6,6,1,6,1,5,5,1,1,1,1,2,5,5,2,5,5,3,3
2023-04-26T18:52:55Z,312,19,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,yes,Food waste boxes about once a month,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,5,7,1,6,8,7,4,1,5,3,2,6,3,1,6,2,3,5,1,1,1,1,1,6,6,2,6,6,5,6
2023-04-27T16:07:13Z,322,20,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"availability of certain items, or knowing how to change the palette to what can be sourced locally (like seasonal vegetables)",4,1,2,7,5,3,6,4,6,2,1,8,5,3,7,3,1,7,3,3,3,1,2,3,1,1,7,7,2,7,5,6,5
2023-05-01T17:09:34Z,350,16,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,WWF website,NA,NA,NA,NA,NA,NA,NA,Somtimes budget and often easily accessible information,6,3,7,1,5,4,2,5,3,7,1,8,4,2,6,3,1,5,3,3,3,1,1,3,1,2,7,6,2,5,3,2,5
2023-05-01T18:52:22Z,312,22,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,laziness,6,1,7,4,5,2,3,3,5,1,6,8,7,4,2,3,1,7,2,5,2,6,1,1,1,1,7,6,1,6,7,5,5
2023-05-01T18:52:25Z,316,21,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,"Convenience, lack of effort on my part, feeling a bit overwhelmed by it",6,3,4,2,7,1,5,2,1,4,5,8,3,7,6,3,2,8,3,4,2,5,1,1,1,1,7,6,2,6,6,3,5
2023-05-02T12:03:31Z,456,23,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,yes,"French family sending us some food/treats every so often (chocolate, vinegar, nuts etc.)",no,NA,NA,NA,NA,NA,NA,NA,NA,Maybe I don't know enough about how to do this efficiently or I don't read enough on the subject to feel informed enough.,5,2,7,4,6,1,3,4,3,8,2,6,1,5,7,3,2,7,3,5,3,1,1,3,3,2,7,6,1,6,5,4,5
2023-05-02T14:11:29Z,426,24,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,yes,Milk (twice a week) and eggs (once a week) delivered to house,no,NA,NA,NA,NA,NA,NA,NA,NA,Lack of knowledge/understanding,7,2,4,5,6,1,3,8,1,2,6,3,5,7,4,3,1,6,3,3,6,1,1,1,1,2,7,5,1,5,6,3,5
2023-05-02T19:26:06Z,386,15,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,Cost,6,1,7,2,5,3,4,5,4,1,6,7,8,2,3,3,2,6,3,4,5,1,1,2,1,2,7,7,1,7,6,5,4
2023-05-03T10:44:55Z,430,27,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,Lack of information about foodprint,5,2,1,4,6,3,7,2,4,7,6,5,1,8,3,4,1,2,1,2,5,2,2,1,1,2,6,4,2,5,6,2,2
2023-05-03T10:44:55Z,469,26,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,Packaging which food is wrapped in by the supermarkets and lack of knowledge of the alternatives.,7,1,4,2,6,3,5,1,2,7,6,5,4,8,3,4,2,5,2,2,3,3,2,1,1,1,6,5,3,3,6,3,3
2023-05-03T17:40:16Z,542,28,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,time and effort,4,1,5,2,6,3,7,1,2,5,7,8,6,4,3,6,1,5,1,4,2,5,3,1,1,2,6,5,1,3,5,3,5
2023-05-03T17:47:12Z,316,39,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,Time effort,7,6,3,2,5,1,4,4,5,3,2,8,6,1,7,6,2,6,1,4,2,2,3,1,1,2,5,4,3,5,5,4,4
2023-05-03T20:28:37Z,588,25,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,The desire not to care,7,1,6,4,2,3,5,2,1,8,3,6,7,4,5,3,1,4,3,5,3,1,1,3,1,1,6,6,3,6,2,6,5
2023-05-04T09:09:37Z,352,29,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,yes,street market stalls,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,5,7,4,2,3,2,1,8,4,5,7,3,6,3,2,5,3,5,2,1,1,2,2,2,7,7,2,7,7,4,6
