StartDate,duration_sec,user_ID,env_attitude_1,env_attitude_2,env_attitude_3_inv,env_attitude_4,SelfEff_1,SelfEff_2,SelfEff_3,barriers_desc,state_helped_goals,state_helped_control,state_helped_change,intention_1,intention_2,spillover_1,spillover_2,knowledge_1_Organic,knowledge_1_Local,knowledge_1_Product_type,knowledge_1_Packeging,knowledge_1_Store,knowledge_1_Airfreight,knowledge_1_Hothouses,knowledge_2_Banana,knowledge_2_BerriesChile,knowledge_2_Cheddar,knowledge_2_Lamb,knowledge_2_Strawb_Scott,knowledge_2_TigerPrawn,knowledge_2_Chicken,knowledge_2_Strawb_Spain,UX_1_supportive,UX_2_easy,UX_3_efficient,UX_4_clear,UX_5_exciting,UX_6_interesting,UX_7_inventive,UX_8_leading,state_accept_alt,state_use_future,env_attitude_1_level,env_attitude_2_level,env_attitude_3_inv_level,env_attitude_4_level,SelfEff_1_level,SelfEff_2_level,SelfEff_3_level,state_helped_goals_level,state_helped_control_level,state_helped_change_level,intention_1_level,intention_2_level,spillover_1_level,spillover_2_level,UX_1_supportive_level,UX_2_easy_level,UX_3_efficient_level,UX_4_clear_level,UX_5_exciting_level,UX_6_interesting_level,UX_7_inventive_level,UX_8_leading_level,state_accept_alt_level,state_use_future_level
2023-05-25T09:21:34Z,500,18,agree,agree,disagree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,"Lack of choice between higher and lower footprint options. For example, can't buy some types of frozen veg, only green veg available fresh is airfreighted, alternative swaps are not similar replacements.",Somewhat agree,Agree,Somewhat agree,somewhat likely,Somewhat much,somewhat agree,disagree,7,3,1,5,6,2,4,8,4,5,1,7,3,2,6,Supportive,Slightly complicated,Efficient,Very clear,Slightly exciting,Very interesting,Inventive,Slightly leading edge,Difficult,Disagree,6,6,2,5,5,5,4,25,18,25,5,33,5,2,31,28,31,32,30,32,31,30,27,22
2023-05-24T12:05:26Z,465,13,agree,agree,somewhat disagree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,"Access to foods, cost/finances, balancing with nutrition, mix of easy to store or cook and time to cook, and balancing environmental interests (low water consumption, low plastics).",Neither agree nor disagree,Somewhat agree,Disagree,somewhat unlikely,Neither much nor little,somewhat agree,somewhat agree,6,4,1,5,7,3,2,8,4,3,2,6,1,5,7,Slightly supportive,Easy,Efficient,Clear,Slightly exciting,Slightly interesting,Slightly inventive,Slightly leading edge,Slightly easy,Neither agree nor disagree,6,6,3,5,5,3,3,24,17,22,3,32,5,5,30,31,31,30,30,30,30,30,30,24
2023-06-01T10:48:12Z,396,28,agree,somewhat agree,disagree,somewhat agree,agree,somewhat agree,somewhat agree,"knowledge, time, £",Somewhat agree,Somewhat agree,Neither agree nor disagree,somewhat likely,Neither much nor little,somewhat agree,somewhat agree,6,2,1,5,7,4,3,2,3,1,4,7,5,8,6,Slightly supportive,Easy,Efficient,Clear,Slightly exciting,Interesting,Inventive,Slightly leading edge,Slightly easy,Somewhat agree,6,5,2,5,6,5,5,25,17,24,5,32,5,5,30,31,31,30,30,31,31,30,30,25
2023-05-18T17:08:54Z,331,20,agree,agree,strongly disagree,strongly agree,somewhat agree,somewhat agree,agree,NA,Agree,Somewhat agree,Neither agree nor disagree,somewhat unlikely,Somewhat little,somewhat agree,disagree,5,3,2,6,7,1,4,5,3,4,1,8,7,2,6,Supportive,Easy,Very efficient,Very clear,Neither exciting nor boring,Interesting,Inventive,Slightly leading edge,Very easy,Somewhat agree,6,6,1,7,5,5,6,26,17,24,3,31,5,2,31,31,32,32,29,31,31,30,32,25
2023-05-23T09:50:01Z,319,24,strongly agree,somewhat agree,strongly disagree,agree,agree,somewhat agree,agree,NA,Agree,Agree,Agree,likely,Much,somewhat agree,neither agree nor disagree,7,5,1,4,6,3,2,8,6,3,2,5,1,4,7,Supportive,Easy,Efficient,Clear,Slightly exciting,Slightly interesting,Inventive,Leading edge,Difficult,Agree,7,5,1,6,6,5,6,26,18,26,6,34,5,4,31,31,31,30,30,30,31,31,27,26
2023-06-09T09:44:21Z,634,32,agree,somewhat agree,disagree,somewhat agree,agree,somewhat agree,agree,NA,Agree,Agree,Agree,likely,Somewhat much,somewhat agree,somewhat agree,6,5,3,4,7,1,2,2,1,8,7,5,3,6,4,Neither supportive nor obstructive,Slightly easy,Slightly inefficient,Clear,Slightly exciting,Very interesting,Slightly inventive,Slightly leading edge,Slightly difficult,Agree,6,5,2,5,6,5,6,26,18,26,6,33,5,5,29,30,28,30,30,32,30,30,28,26
2023-05-22T08:39:33Z,1337,19,agree,agree,disagree,strongly agree,strongly agree,somewhat agree,agree,NA,Agree,Agree,Agree,somewhat likely,Much,somewhat agree,somewhat agree,6,3,5,4,7,1,2,7,5,4,1,8,2,3,6,Slightly supportive,Easy,Efficient,Moderately clear,Neither exciting nor boring,Slightly interesting,Inventive,Slightly leading edge,Slightly difficult,Agree,6,6,2,7,7,5,6,26,18,26,5,34,5,5,30,31,31,31,29,30,31,30,28,26
2023-05-23T15:04:05Z,256,22,strongly agree,agree,strongly disagree,strongly agree,agree,agree,somewhat agree,Laziness and the desire to eat out of season fruit/vegetables,Agree,Somewhat agree,Neither agree nor disagree,somewhat likely,Somewhat much,somewhat agree,neither agree nor disagree,7,5,1,4,6,2,3,4,3,1,6,8,2,7,5,Slightly supportive,Very easy,Very efficient,Very clear,Slightly exciting,Interesting,Inventive,Leading edge,Neither easy nor difficult,Agree,7,6,1,7,6,6,5,26,17,24,5,33,5,4,30,32,32,32,30,31,31,31,29,26
2023-05-23T15:57:17Z,8203,23,agree,somewhat agree,disagree,agree,somewhat agree,somewhat agree,agree,NA,Somewhat agree,Agree,Somewhat agree,likely,Somewhat much,strongly agree,somewhat agree,6,3,5,7,4,2,1,3,2,6,7,1,4,8,5,Neither supportive nor obstructive,Slightly easy,Slightly efficient,Clear,Exciting,Interesting,Inventive,Leading edge,Neither easy nor difficult,Agree,6,5,2,6,5,5,6,25,18,25,6,33,7,5,29,30,30,30,31,31,31,31,29,26
2023-05-26T16:54:41Z,311,26,agree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,Packaging of foods and lack of knowledge of the alternatives.,Agree,Agree,Neither agree nor disagree,likely,Much,agree,agree,7,2,3,1,4,6,5,3,2,6,8,5,1,7,4,Very supportive,Easy,Efficient,Clear,Slightly exciting,Interesting,Inventive,Very leading edge,Neither easy nor difficult,Agree,6,5,5,5,6,5,5,26,18,24,6,34,6,6,32,31,31,30,30,31,31,32,29,26
2023-05-25T10:58:16Z,761,27,agree,somewhat agree,somewhat disagree,somewhat agree,somewhat agree,agree,agree,NA,Somewhat agree,Strongly agree,Somewhat agree,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,6,5,1,7,2,3,4,6,5,4,1,8,3,2,7,Supportive,Slightly easy,Slightly efficient,Clear,Neither exciting nor boring,Very interesting,Slightly inventive,Neither leading edge nor usual,Slightly easy,Agree,6,5,3,5,5,6,6,25,19,25,5,33,4,4,31,30,30,30,29,32,30,29,30,26
2023-05-27T07:06:53Z,294,31,agree,agree,disagree,agree,agree,somewhat agree,agree,NA,Agree,Somewhat agree,Somewhat agree,likely,Very much,neither agree nor disagree,neither agree nor disagree,7,5,4,6,3,1,2,6,2,1,8,5,3,7,4,Supportive,Slightly complicated,Neither efficient nor inefficient,Confusing,Slightly exciting,Interesting,Slightly inventive,Slightly leading edge,Slightly easy,Agree,6,6,2,6,6,5,6,26,17,25,6,35,4,4,31,28,29,28,30,31,30,30,30,26
2023-05-18T08:37:46Z,200,11,agree,agree,disagree,agree,agree,agree,agree,NA,Agree,Agree,Agree,somewhat likely,Much,agree,somewhat agree,5,4,2,7,6,1,3,5,6,4,3,8,2,1,7,Supportive,Easy,Slightly efficient,Clear,Slightly exciting,Slightly interesting,Neither inventive nor conventional,Neither leading edge nor usual,Easy,Agree,6,6,2,6,6,6,6,26,18,26,5,34,6,5,31,31,30,30,30,30,29,29,31,26
2023-06-01T10:48:15Z,502,39,agree,somewhat agree,disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,"Time, accessibility, knowledge",Neither agree nor disagree,Somewhat agree,Somewhat agree,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,5,2,1,3,4,7,6,5,7,1,3,8,4,2,6,Slightly supportive,Neither easy nor complicated,Slightly efficient,Clear,Slightly exciting,Very interesting,Slightly inventive,Slightly leading edge,Easy,Agree,6,5,2,5,5,5,5,24,17,25,5,33,4,4,30,29,30,30,30,32,30,30,31,26
2023-05-18T09:00:56Z,310,17,agree,somewhat agree,somewhat disagree,agree,somewhat agree,somewhat agree,agree,NA,Agree,Agree,Somewhat agree,likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,7,5,3,4,6,1,2,8,1,6,4,3,7,5,2,Supportive,Easy,Efficient,Very clear,Slightly exciting,Interesting,Slightly inventive,Slightly leading edge,Slightly difficult,Strongly agree,6,5,3,6,5,5,6,26,18,25,6,33,4,4,31,31,31,32,30,31,30,30,28,27
2023-05-17T13:19:27Z,598,14,strongly agree,agree,strongly disagree,agree,agree,somewhat agree,somewhat agree,Cost of cheaply produced food being significantly lower than locally/low footprint foods,Agree,Agree,Agree,somewhat likely,Very much,somewhat agree,somewhat agree,7,4,5,3,6,1,2,3,1,7,6,5,4,8,2,Supportive,Easy,Efficient,Moderately clear,Slightly exciting,Very interesting,Inventive,Slightly leading edge,Slightly easy,Strongly agree,7,6,1,6,6,5,5,26,18,26,5,35,5,5,31,31,31,31,30,32,31,30,30,27
2023-05-23T11:24:03Z,311,25,agree,agree,disagree,agree,somewhat agree,somewhat agree,somewhat agree,The good taste of middle class life !,Agree,Agree,Somewhat agree,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,7,1,5,6,4,2,3,5,4,6,8,1,3,7,2,Supportive,Easy,Efficient,Clear,Exciting,Very interesting,Inventive,Leading edge,Slightly easy,Strongly agree,6,6,2,6,5,5,5,26,18,25,5,33,4,4,31,31,31,30,31,32,31,31,30,27
2023-05-23T09:37:39Z,192,15,strongly agree,agree,disagree,somewhat agree,somewhat agree,agree,agree,NA,Agree,Agree,Somewhat agree,likely,Very much,agree,agree,7,3,5,4,6,1,2,4,5,2,1,6,3,8,7,Supportive,Slightly easy,Very efficient,Very clear,Exciting,Very interesting,Inventive,Leading edge,Slightly easy,Strongly agree,7,6,2,5,5,6,6,26,18,25,6,35,6,6,31,30,32,32,31,32,31,31,30,27
2023-05-26T12:05:44Z,312,30,agree,somewhat agree,disagree,somewhat agree,agree,agree,agree,NA,Agree,Strongly agree,Strongly agree,likely,Much,disagree,disagree,7,5,1,6,4,3,2,1,4,6,7,2,8,5,3,Very supportive,Very easy,Very efficient,Moderately clear,Exciting,Very interesting,Inventive,Leading edge,Easy,Strongly agree,6,5,2,5,6,6,6,26,19,27,6,34,2,2,32,32,32,31,31,32,31,31,31,27
