survey_id,StartDate,duration_sec,user_ID,age,sex,degree,adults,children,does_groceries,diet,share_store,share_online,share_meal_box,share_veggie_box,share_farm_store,share_out-of-home,share_other,other_def,apps_used,apps_name,env_attitude_1,env_attitude_2,env_attitude_3_inv,env_attitude_4,SelfEff_1,SelfEff_2,SelfEff_3,barriers_desc,knowledge_1_score,knowledge_2_score,env_attitude,SelfEff,knowledge_score,state_helped_goals,state_helped_control,state_helped_change,intention_1,intention_2,spillover_1,spillover_2,UX_1_supportive,UX_2_easy,UX_3_efficient,UX_4_clear,UX_5_exciting,UX_6_interesting,UX_7_inventive,UX_8_leading,state_accept_alt,state_use_future,intention,spillover,UX8,UX10,helpful
T1 (start),2023-04-24T11:06:22Z,244,11,25-34 years old,Woman,Master's degree,2,0,We do most groceries collectivily,Dairy free,almost all,none/very little,none/very little,none/very little,none/very little,some,yes,Local restaurant who does a food waste hamper,no,NA,agree,somewhat agree,strongly disagree,agree,agree,disagree,agree,NA,42.86,58.33,6,4.666666666666667,50.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-04-24T19:52:12Z,425,13,25-34 years old,non-binary,Master's degree,1,0,I do,Flexitarian,almost all,none/very little,none/very little,none/very little,some,some,yes,shared meals with friends,no,NA,agree,somewhat agree,somewhat disagree,agree,agree,disagree,somewhat disagree,"Lack of knowledge, low income, local food availability & taste",57.14,75,5.5,3.6666666666666665,66.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-04-25T07:32:10Z,267,12,25-34 years old,Man,Master's degree,2,0,I do,Omnivorous (no restrictions),about half,about half,none/very little,none/very little,none/very little,some,no,NA,no,NA,agree,somewhat agree,disagree,agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,It's hard to know which items have a large carbon footprint outside of country of origin,28.57,33.33,5.75,4.333333333333333,30.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-04-25T11:09:45Z,271,14,18-24 years old,Man,Bachelor's degree in college (4-year),1,0,I do,Flexitarian,almost all,none/very little,none/very little,none/very little,none/very little,none/very little,no,NA,no,NA,strongly agree,agree,agree,strongly agree,agree,somewhat disagree,disagree,Lack of knowledge about what changes make the most difference,50,33.33,5.5,3.6666666666666665,41.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-04-26T10:37:48Z,541,17,25-34 years old,Man,Master's degree,2,0,I do,Omnivorous (no restrictions),almost all,none/very little,none/very little,none/very little,none/very little,some,no,NA,yes,Co2.myclimate.org; ourworldindata; for travel the trip providers often have an estimate,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,somewhat agree,somewhat disagree,neither agree nor disagree,"Personal effort, ease of accessibility on information, practicability",50,83.33,5,4,66.66499999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-04-26T13:30:23Z,337,18,55-64 years old,Man,Master's degree,1,0,I do,Vegetarian,most,none/very little,none/very little,none/very little,none/very little,some,no,NA,no,NA,somewhat agree,somewhat agree,disagree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,"Availability of options at local grocery stores (e.g. limited ranges, unavailable stock)",85.71,62.5,5.25,3.6666666666666665,74.10499999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-04-26T18:52:55Z,312,19,25-34 years old,Man,Master's degree,2,0,Another person in my household,Flexitarian,most,none/very little,none/very little,none/very little,none/very little,none/very little,yes,Food waste boxes about once a month,no,NA,agree,agree,disagree,agree,agree,somewhat agree,agree,NA,57.14,75,6,5.666666666666667,66.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-04-27T16:07:13Z,322,20,25-34 years old,Man,Doctoral degree,1,0,We do most groceries collectivily,Flexitarian,about half,none/very little,some,about half,none/very little,none/very little,no,NA,no,NA,strongly agree,strongly agree,disagree,strongly agree,somewhat agree,agree,somewhat agree,"availability of certain items, or knowing how to change the palette to what can be sourced locally (like seasonal vegetables)",64.29,62.5,6.75,5.333333333333333,63.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-01T17:09:34Z,350,16,25-34 years old,Man,Bachelor's degree in college (4-year),2,0,We do most groceries collectivily,Flexitarian,about half,none/very little,none/very little,about half,none/very little,some,no,NA,yes,WWF website,strongly agree,agree,disagree,somewhat agree,somewhat disagree,disagree,somewhat agree,Somtimes budget and often easily accessible information,35.71,62.5,6,3.3333333333333335,49.105000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-01T18:52:22Z,312,22,25-34 years old,Man,Doctoral degree,2,0,Another person in my household,Vegetarian,some,almost all,none/very little,none/very little,none/very little,none/very little,no,NA,no,NA,strongly agree,agree,strongly disagree,agree,strongly agree,somewhat agree,somewhat agree,laziness,42.86,25,6.5,5.666666666666667,33.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-01T18:52:25Z,316,21,25-34 years old,Woman,"Professional degree (JD, MD)",2,0,We do most groceries collectivily,Pescaterian,some,most,none/very little,none/very little,none/very little,none/very little,no,NA,no,NA,strongly agree,agree,disagree,agree,agree,somewhat disagree,somewhat agree,"Convenience, lack of effort on my part, feeling a bit overwhelmed by it",64.29,58.33,6.25,4.666666666666667,61.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-02T12:03:31Z,456,23,25-34 years old,Woman,Doctoral degree,2,0,We do most groceries collectivily,Vegetarian,about half,none/very little,none/very little,about half,about half,some,yes,"French family sending us some food/treats every so often (chocolate, vinegar, nuts etc.)",no,NA,strongly agree,agree,strongly disagree,agree,somewhat agree,neither agree nor disagree,somewhat agree,Maybe I don't know enough about how to do this efficiently or I don't read enough on the subject to feel informed enough.,50,75,6.5,4.666666666666667,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-02T14:11:29Z,426,24,25-34 years old,Man,Master's degree,2,0,We do most groceries collectivily,Flexitarian,almost all,none/very little,none/very little,none/very little,none/very little,some,yes,Milk (twice a week) and eggs (once a week) delivered to house,no,NA,strongly agree,somewhat agree,strongly disagree,somewhat agree,agree,somewhat disagree,somewhat agree,Lack of knowledge/understanding,71.43,62.5,6,4.666666666666667,66.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-03T10:44:55Z,430,27,35-44 years old,Man,High school graduate (high school diploma or equivalent including GED),2,0,I do,Omnivorous (no restrictions),most,some,some,none/very little,none/very little,some,no,NA,no,NA,agree,neither agree nor disagree,disagree,somewhat agree,agree,disagree,disagree,Lack of information about foodprint,64.29,50,5.25,3.3333333333333335,57.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-03T10:44:55Z,469,26,35-44 years old,Woman,Bachelor's degree in college (4-year),2,0,Another person in my household,Omnivorous (no restrictions),about half,about half,some,none/very little,none/very little,none/very little,no,NA,no,NA,agree,somewhat agree,somewhat disagree,somewhat disagree,agree,somewhat disagree,somewhat disagree,Packaging which food is wrapped in by the supermarkets and lack of knowledge of the alternatives.,50,41.67,4.75,4,45.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-03T17:40:16Z,542,28,55-64 years old,Man,Bachelor's degree in college (4-year),3,0,I do,Pescaterian,some,most,about half,none/very little,none/very little,some,no,NA,no,NA,agree,somewhat agree,strongly disagree,somewhat disagree,somewhat agree,somewhat disagree,somewhat agree,time and effort,28.57,25,5.25,4.333333333333333,26.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-03T17:47:12Z,316,39,55-64 years old,Woman,Master's degree,3,0,I do,Pescaterian,some,some,about half,none/very little,none/very little,some,no,NA,no,NA,somewhat agree,neither agree nor disagree,somewhat disagree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,Time effort,78.57,50,4.75,4.333333333333333,64.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-03T20:28:37Z,588,25,25-34 years old,Man,Associate degree in college (2-year),2,0,We do most groceries collectivily,Vegetarian,about half,none/very little,none/very little,about half,none/very little,none/very little,no,NA,no,NA,agree,agree,somewhat disagree,agree,disagree,agree,somewhat agree,The desire not to care,28.57,41.67,5.75,4.333333333333333,35.120000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-04T09:09:37Z,352,29,25-34 years old,Woman,Bachelor's degree in college (4-year),2,0,We do most groceries collectivily,Vegetarian,some,none/very little,none/very little,some,some,some,yes,street market stalls,no,NA,strongly agree,strongly agree,disagree,strongly agree,strongly agree,neither agree nor disagree,agree,NA,57.14,37.5,6.75,5.666666666666667,47.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-04T09:07:27Z,632,30,25-34 years old,Man,Bachelor's degree in college (4-year),2,0,We do most groceries collectivily,Omnivorous (no restrictions),about half,none/very little,none/very little,about half,some,none/very little,no,NA,no,NA,agree,somewhat agree,strongly disagree,somewhat agree,somewhat agree,agree,somewhat agree,Cost and ease of use. Generally eat low foodprint vegetables (and some fruit). But low foodprint meat is generally from traditional outlets e.g. butchers which are open 9-5 (working hours) and generally more expensive.,7.14,58.33,5.75,5.333333333333333,32.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-05T09:05:11Z,179,31,55-64 years old,Man,Bachelor's degree in college (4-year),2,0,We do most groceries collectivily,Omnivorous (no restrictions),almost all,some,none/very little,none/very little,none/very little,none/very little,no,NA,no,NA,strongly agree,agree,strongly disagree,strongly agree,strongly agree,agree,strongly agree,NA,28.57,50,6.75,6.666666666666667,39.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1 (start),2023-05-09T12:04:22Z,316,32,35-44 years old,Man,Doctoral degree,2,2,I do,Omnivorous (no restrictions),about half,about half,none/very little,none/very little,none/very little,some,no,NA,no,NA,agree,neither agree nor disagree,somewhat disagree,somewhat agree,somewhat agree,somewhat disagree,neither agree nor disagree,lack of knowledge about the carbon impact of some choices,78.57,66.67,5,4,72.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2 (end),2023-05-17T09:38:28Z,316,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,somewhat agree,strongly disagree,agree,somewhat agree,somewhat agree,somewhat agree,"After having recent struggles with my weight, I am prioritising high calorie and high protein meals to maintain a healthy weight. This is being prioritised above eating less meat and eating more sustainably sourced foods, but as I become a more stable weight, I will slowly try to make small changes  to improve my foodprint",100,58.33,6,5,79.16499999999999,strongly agree,strongly agree,agree,somewhat likely,Much,somewhat agree,somewhat agree,Very supportive,Very easy,Very efficient,Very clear,Exciting,Very interesting,Inventive,Very leading edge,Very easy,strongly agree,5.5,5,6.75,6.8,6.666666666666667
T2 (end),2023-05-17T13:19:27Z,598,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,strongly agree,agree,strongly disagree,agree,agree,somewhat agree,somewhat agree,Cost of cheaply produced food being significantly lower than locally/low footprint foods,71.43,50,6.5,5.333333333333333,60.715,agree,agree,agree,somewhat likely,Very much,somewhat agree,somewhat agree,Supportive,Easy,Efficient,Moderately clear,Slightly exciting,Very interesting,Inventive,Slightly leading edge,Slightly easy,strongly agree,6,5,5.875,5.9,6
T2 (end),2023-05-18T08:37:46Z,200,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,agree,disagree,agree,agree,agree,agree,NA,92.86,66.67,6,6,79.765,agree,agree,agree,somewhat likely,Much,agree,somewhat agree,Supportive,Easy,Slightly efficient,Clear,Slightly exciting,Slightly interesting,Neither inventive nor conventional,Neither leading edge nor usual,Easy,agree,5.5,5.5,5,5.2,6
T2 (end),2023-05-18T09:00:56Z,310,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,somewhat agree,somewhat disagree,agree,somewhat agree,somewhat agree,agree,NA,85.71,50,5.5,5.333333333333333,67.85499999999999,agree,agree,somewhat agree,likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,Supportive,Easy,Efficient,Very clear,Slightly exciting,Interesting,Slightly inventive,Slightly leading edge,Slightly difficult,strongly agree,5.5,4,5.75,5.6,5.666666666666667
T2 (end),2023-05-18T17:08:54Z,331,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,agree,strongly disagree,strongly agree,somewhat agree,somewhat agree,agree,NA,85.71,58.33,6.5,5.333333333333333,72.02,agree,somewhat agree,neither agree nor disagree,somewhat unlikely,Somewhat little,somewhat agree,disagree,Supportive,Easy,Very efficient,Very clear,Neither exciting nor boring,Interesting,Inventive,Slightly leading edge,Very easy,somewhat agree,3,3.5,5.875,5.9,5
T2 (end),2023-05-22T08:39:33Z,1337,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,agree,disagree,strongly agree,strongly agree,somewhat agree,agree,NA,71.43,79.17,6.25,6,75.30000000000001,agree,agree,agree,somewhat likely,Much,somewhat agree,somewhat agree,Slightly supportive,Easy,Efficient,Moderately clear,Neither exciting nor boring,Slightly interesting,Inventive,Slightly leading edge,Slightly difficult,agree,5.5,5,5.375,5.2,6
T2 (end),2023-05-23T09:37:39Z,192,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,strongly agree,agree,disagree,somewhat agree,somewhat agree,agree,agree,NA,71.43,66.67,6,5.666666666666667,69.05000000000001,agree,agree,somewhat agree,likely,Very much,agree,agree,Supportive,Slightly easy,Very efficient,Very clear,Exciting,Very interesting,Inventive,Leading edge,Slightly easy,strongly agree,6.5,6,6.25,6.2,5.666666666666667
T2 (end),2023-05-23T09:50:01Z,319,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,strongly agree,somewhat agree,strongly disagree,agree,agree,somewhat agree,agree,NA,100,91.67,6.25,5.666666666666667,95.83500000000001,agree,agree,agree,likely,Much,somewhat agree,neither agree nor disagree,Supportive,Easy,Efficient,Clear,Slightly exciting,Slightly interesting,Inventive,Leading edge,Difficult,agree,6,4.5,5.625,5.3,6
T2 (end),2023-05-23T11:24:03Z,311,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,agree,disagree,agree,somewhat agree,somewhat agree,somewhat agree,The good taste of middle class life !,57.14,45.83,6,5,51.485,agree,agree,somewhat agree,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,Supportive,Easy,Efficient,Clear,Exciting,Very interesting,Inventive,Leading edge,Slightly easy,strongly agree,5,4,6,6,5.666666666666667
